Card Name,Set,Set Code,Game,Region,Release Date,Rarities,Notes,Market Price (USD),Price Updated
Witchcrafter Madame Verre,Limit Over Collection: The Heroes,LOCH-JP029,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (held by Golem Aruru),n/a,
Diabellstar the Black Witch,Limit Over Collection: The Heroes,LOCH-JP030,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (with Rciela and Silvera),n/a,
Visas Samsara,Limit Over Collection: The Heroes,LOCH-JP031,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Ib the World Chalice Justiciar,Limit Over Collection: The Heroes,LOCH-JP032,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Divine Arsenal AA-ZEUS - Sky Thunder,Limit Over Collection: The Heroes,LOCH-JP033,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Exosisters Magnifica,Limit Over Collection: The Heroes,LOCH-JP034,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Mekk-Knight Crusadia Avramax,Limit Over Collection: The Heroes,LOCH-JP035,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
"A Bao A Qu, the Lightless Shadow",Limit Over Collection: The Heroes,LOCH-JP036,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Sky Striker Mobilize - Engage!,Limit Over Collection: The Heroes,LOCH-JP037,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (Raye and Roze),n/a,
Dark Ruler No More,Limit Over Collection: The Heroes,LOCH-JP038,OCG,Japan,2026-02-28,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
"Thunder King, the Lightningstrike Kaiju",Limit Over Collection: The Rivals,LOCR-JP029,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Rescue-ACE Turbulence,Limit Over Collection: The Rivals,LOCR-JP030,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Lovely Labrynth of the Silver Castle,Limit Over Collection: The Rivals,LOCR-JP031,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (with Labrynth plushes),n/a,
Diabellze the Original Sinkeeper,Limit Over Collection: The Rivals,LOCR-JP032,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Fallen of Albaz,Limit Over Collection: The Rivals,LOCR-JP033,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (with Aluber),n/a,
"Incredible Ecclesia, the Virtuous",Limit Over Collection: The Rivals,LOCR-JP034,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (with Cartesia),n/a,
Super Starslayer TY-PHON - Sky Crisis,Limit Over Collection: The Rivals,LOCR-JP035,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
"Dingirsu, the Orcust of the Evening Star",Limit Over Collection: The Rivals,LOCR-JP036,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Ultimate Slayer,Limit Over Collection: The Rivals,LOCR-JP037,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art (Apollousa),n/a,
Maliss in Underground,Limit Over Collection: The Rivals,LOCR-JP038,OCG,Japan,2026-03-20,Ultra Rare / Secret Rare / Prismatic Secret Rare,New chibi art,n/a,
Summoned Skull,Battles of Legend: Glorious Gallery,BLGG-EN001,TCG,Worldwide,2026-06-04,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $3.02 | Starlight: $36.59,2026-09-21
Exodia the Forbidden One,Battles of Legend: Glorious Gallery,BLGG-EN002,TCG,Worldwide,2026-06-04,Secret Rare / Starlight Rare,Same chibi as Hyundai Seoul promo,Secret: $1.91 | Starlight: $37.00,2026-09-21
Dark Magician Girl,Battles of Legend: Glorious Gallery,BLGG-EN003,TCG,Worldwide,2026-06-04,Secret Rare / Starlight Rare,Same chibi as 711E promo,Secret: $5.52 | Starlight: $75.17,2026-09-21
Vampire Lord,Battles of Legend: Glorious Gallery,BLGG-EN004,TCG,Worldwide,2026-06-04,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $0.76 | Starlight: $9.09,2026-09-21
Tour Guide From the Underworld,Battles of Legend: Glorious Gallery,BLGG-EN005,TCG,Worldwide,2026-06-04,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $0.57 | Starlight: $9.59,2026-09-21
El Shaddoll Construct,Battles of Legend: Glorious Gallery,BLGG-EN006,TCG,Worldwide,2026-06-04,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $0.52 | Starlight: $6.53,2026-09-21
Legendary Six Samurai - Shi En,Battles of Legend: Glorious Gallery,BLGG-EN007,TCG,Worldwide,2026-06-04,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $0.56 | Starlight: $12.23,2026-09-21
Evolzar Laggia,Battles of Legend: Glorious Gallery,BLGG-EN008,TCG,Worldwide,2026-06-04,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $0.77 | Starlight: $8.72,2026-09-21
Constellar Ptolemy M7,Battles of Legend: Glorious Gallery,BLGG-EN009,TCG,Worldwide,2026-06-04,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $0.82 | Starlight: $9.30,2026-09-21
Stellarknight Delteros,Battles of Legend: Glorious Gallery,BLGG-EN010,TCG,Worldwide,2026-06-04,Secret Rare / Starlight Rare,Duel Arena chibi,Secret: $0.56 | Starlight: $6.00,2026-09-21
Witchcrafter Madame Verre,Magnificent Monsters,MAMO-EN031,TCG,Worldwide,2026-09-03,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCH chibi art,Ultra: $0.10 | Secret: $0.19 | Starlight: $12.76,2026-09-21
Diabellstar the Black Witch,Magnificent Monsters,MAMO-EN032,TCG,Worldwide,2026-09-03,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCH chibi art,Ultra: $0.29 | Secret: $0.75 | Starlight: $37.34,2026-09-21
Visas Samsara,Magnificent Monsters,MAMO-EN033,TCG,Worldwide,2026-09-03,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCH chibi art,Ultra: $0.08 | Secret: $0.28 | Starlight: $5.79,2026-09-21
Ib the World Chalice Justiciar,Magnificent Monsters,MAMO-EN034,TCG,Worldwide,2026-09-03,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCH chibi art,Ultra: $0.08 | Secret: $0.17 | Starlight: $4.85,2026-09-21
Divine Arsenal AA-ZEUS - Sky Thunder,Magnificent Monsters,MAMO-EN035,TCG,Worldwide,2026-09-03,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCH chibi art,Ultra: $0.35 | Secret: $0.64 | Starlight: $17.01,2026-09-21
Exosisters Magnifica,Magnificent Monsters,MAMO-EN036,TCG,Worldwide,2026-09-03,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCH chibi art,Ultra: $0.09 | Secret: $0.20 | Starlight: $14.77,2026-09-21
Mekk-Knight Crusadia Avramax,Magnificent Monsters,MAMO-EN037,TCG,Worldwide,2026-09-03,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCH chibi art,Ultra: $0.13 | Secret: $0.17 | Starlight: $4.86,2026-09-21
"A Bao A Qu, the Lightless Shadow",Magnificent Monsters,MAMO-EN038,TCG,Worldwide,2026-09-03,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCH chibi art,Ultra: $0.31 | Secret: $0.46 | Starlight: $19.42,2026-09-21
Sky Striker Mobilize - Engage!,Magnificent Monsters,MAMO-EN039,TCG,Worldwide,2026-09-03,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCH chibi art,Ultra: $0.28 | Secret: $0.45 | Starlight: $20.49,2026-09-21
Dark Ruler No More,Magnificent Monsters,MAMO-EN040,TCG,Worldwide,2026-09-03,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCH chibi art,Ultra: $0.26 | Secret: $0.58 | Starlight: $14.84,2026-09-21
Lovely Labrynth of the Silver Castle,Magnificent Maestros,TBA,TCG,Worldwide,2026-11-12,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCR-JP031 chibi art; announced Jul 2026 (10 chibi variants confirmed for set) - full numbering TBA,,
Fallen of Albaz,Magnificent Maestros,TBA,TCG,Worldwide,2026-11-12,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCR-JP033 chibi art; announced Jul 2026 (10 chibi variants confirmed for set) - full numbering TBA,,
"Incredible Ecclesia, the Virtuous",Magnificent Maestros,TBA,TCG,Worldwide,2026-11-12,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCR-JP034 chibi art; announced Jul 2026 (10 chibi variants confirmed for set) - full numbering TBA,,
Super Starslayer TY-PHON - Sky Crisis,Magnificent Maestros,TBA,TCG,Worldwide,2026-11-12,Ultra Rare / Secret Rare / Starlight Rare,TCG print of LOCR-JP035 chibi art; announced Jul 2026 (10 chibi variants confirmed for set) - full numbering TBA,,
